region,date,mean,median,lower_90,upper_90,lower_50,upper_50
CO,2020-06-03,1.0119090307724377,1.0171589636234875,0.8457511866142775,1.1688741131791285,0.9675969214498947,1.0804148909022222
CO,2020-06-04,0.9903657941357067,1.0000349016858445,0.7978728748803408,1.1700303735395368,0.9515521647129481,1.0828828427067012
CO,2020-06-05,0.9821228576438903,0.9962666014342576,0.7932706460819342,1.1951663305477889,0.9590436300838622,1.0972835882474157
CO,2020-06-06,0.9906563165767533,1.004809751548511,0.8126532074571762,1.1950377382099377,0.9389772928606845,1.0754220279691782
CO,2020-06-07,0.9905074199767041,1.0077010832353357,0.8103680208548996,1.2095538761803653,0.9596242384533717,1.09498996064519
CR,2020-04-20,1.232739851773668,1.2021759551954958,0.8618759460834887,1.6049085798059992,1.0462581924174237,1.3031486951884852
CR,2020-04-21,1.2313715439516635,1.204683158222633,0.8661507107838359,1.6111323394990227,1.0487752200654095,1.3070566318333263
CR,2020-04-22,1.2317243330002738,1.1996495431801604,0.8656283282835848,1.6126761412742405,1.0491819722955316,1.2944205499294617
CR,2020-04-23,1.2293711227645825,1.19909585694282,0.8582819621382355,1.5905810797035602,1.061853916626373,1.3222550204748749
CR,2020-04-24,1.229945295027917,1.1954800648596096,0.8584857754381864,1.597839814627178,1.001395597586982,1.2623479380221805
CR,2020-04-25,1.2196280546408311,1.1942079480758245,0.8366091057372926,1.582794720460872,1.0260339030325205,1.2880135430979913
CR,2020-04-26,1.2186741294669574,1.1911811670122534,0.8534099857208378,1.6065193812838943,1.0092803088892446,1.2671189659140443
CR,2020-04-27,1.2212300789094463,1.1969824314899071,0.8480804175448702,1.6120213142368862,1.0287031604105965,1.2852823023035196
CR,2020-04-28,1.2168401058246232,1.1935307319825483,0.8191882921160759,1.5615325944027945,1.0277586380152839,1.2860163358878822
CR,2020-04-29,1.2135652366165592,1.1846581023938527,0.920335347302055,1.6539987094241155,1.0333150709134034,1.2879829182385214
CR,2020-04-30,1.2132848311656765,1.186361768985131,0.8569543171959251,1.5994857828169629,1.013642022262255,1.2653131387021195
CR,2020-05-01,1.215441661448772,1.18790361376893,0.8486823011507336,1.6169388268867153,1.0496163479684673,1.306741642028979
CR,2020-05-02,1.2152384320811045,1.1945069929786185,0.8726108725207566,1.5988829625767034,1.0640309067476275,1.3162067412637712
CR,2020-05-03,1.2162417514091948,1.1939863476937997,0.8469122798996459,1.5714779427545484,1.0181175266897264,1.275586740765775
CR,2020-05-04,1.216791368645768,1.1887435066464742,0.8661347204123602,1.564322600001813,1.0873016193391114,1.340962295202446
CR,2020-05-05,1.2154084587598377,1.186221287418828,0.8737987687993609,1.5793455396865959,1.0680455442694634,1.318892020871589
CR,2020-05-06,1.211393679619352,1.1848880941485525,0.8539250277790758,1.5722234538715956,1.0686981930653427,1.326136714770012
CR,2020-05-07,1.209284185138746,1.179631268820089,0.8670512093768195,1.5740809699963139,1.0167129517129803,1.277132846825123
CR,2020-05-08,1.207294418112807,1.1827063163995533,0.8699255948875468,1.5689051186279288,1.0610360418013896,1.3197031021830616
CR,2020-05-09,1.2079223471993152,1.181481656669606,0.9012472169892062,1.6084291260940056,1.025861738301025,1.2794052098463102
CR,2020-05-10,1.203662310725853,1.171052528731031,0.8992652591395303,1.5958189169091814,1.0103853149867472,1.2720843992105337
